country,flag,map,region code,tags
K2,,"<img src=""ug-map-k2.png"" />",PK,UG::Mountains UG::Asia
Aconcagua,,"<img src=""ug-map-aconcagua.png"" />",AR,UG::Mountains UG::South_America
Ojos del Salado,,"<img src=""ug-map-ojos_del_salado.png"" />",CL,UG::Mountains UG::South_America
Denali,,"<img src=""ug-map-denali.png"" />",US,UG::Mountains UG::North_America
Mount Logan,,"<img src=""ug-map-mount_logan.png"" />",CA,UG::Mountains UG::North_America
Kilimanjaro,,"<img src=""ug-map-kilimanjaro.png"" />",TZ,UG::Mountains UG::Africa
Mount Kenya,,"<img src=""ug-map-mount_kenya.png"" />",KE,UG::Mountains UG::Africa
Mount Elbrus,,"<img src=""ug-map-mount_elbrus.png"" />",RU,UG::Mountains UG::Europe
Dykh-Tau,,"<img src=""ug-map-dykh_tau.png"" />",RU,UG::Mountains UG::Europe
Puncak Jaya,,"<img src=""ug-map-puncak_jaya.png"" />",ID,UG::Mountains UG::Oceania
Puncak Mandala,,"<img src=""ug-map-puncak_mandala.png"" />",ID,UG::Mountains UG::Oceania
,,,,
Anguilla,"<img src=""ug-flag-anguilla.svg"" />",,,UG::Caribbean UG::North_America UG::Overlapping
Gibraltar,"<img src=""ug-flag-gibraltar.svg"" />",,,UG::Europe UG::Mediterranean UG::Overlapping
Saint Martin,,,,UG::Caribbean UG::North_America UG::Overlapping
British Virgin Islands,"<img src=""ug-flag-british_virgin_islands.svg"" />",,,UG::Caribbean UG::North_America UG::Overlapping
Sint Maarten,"<img src=""ug-flag-sint_maarten.svg"" />",,,UG::Caribbean UG::North_America UG::Overlapping
Turks and Caicos Islands,"<img src=""ug-flag-turks_and_caicos_islands.svg"" />",,,UG::Caribbean UG::North_America UG::Overlapping
Northern Mariana Islands,"<img src=""ug-flag-northern_mariana_islands.png"" />",,,UG::Oceania UG::Overlapping
American Samoa,"<img src=""ug-flag-american_samoa.svg"" />",,,UG::Oceania UG::Overlapping
Cayman Islands,"<img src=""ug-flag-cayman_islands.svg"" />",,,UG::Caribbean UG::North_America UG::Overlapping
Guernsey,"<img src=""ug-flag-guernsey.svg"" />",,,UG::Europe UG::Overlapping
Bermuda,"<img src=""ug-flag-bermuda.svg"" />",,,UG::Caribbean UG::North_America UG::Overlapping
